name, left, middle, right, latitude, longitude,time
NDA,8.55615139008,9.67018604279,9.40080881119,53.095823333,-7.91273,07:33:31
NDA,9.01728868484,9.67018604279,8.96250009537,53.095823333,-7.91273,07:33:32
NDA,9.035551548,9.67018604279,8.92140865326,53.095823333,-7.91273,07:33:33
NDA,8.99902582169,9.65192317963,8.90771150589,53.095823333,-7.91273,07:33:34
NDA,7.62017965317,9.69301462173,9.38254594803,53.095823333,-7.91273,07:33:35
NDA,8.55615139008,9.65192317963,8.94423723221,53.095823333,-7.91273,07:33:35
NDA,8.52419137955,9.61539745331,8.98076295853,53.095823333,-7.91273,07:33:36
NDA,8.54245424271,9.62909460068,8.9031457901,53.095823333,-7.91273,07:33:37
NDA,9.01728868484,9.61539745331,8.92140865326,53.095823333,-7.91273,07:33:38
NDA,8.52419137955,9.69301462173,8.92597436905,53.095823333,-7.91273,07:33:39
NDA,8.54245424271,9.67018604279,8.92597436905,53.095823333,-7.91273,07:33:40
NDA,8.57897996902,9.72954034805,9.42363739014,53.095823333,-7.91273,07:33:41
NDA,8.56071710587,9.15426015854,8.9031457901,53.095823333,-7.91273,07:33:42
NDA,9.00359153748,9.67018604279,8.92597436905,53.095823333,-7.91273,07:33:43
NDA,8.5013628006,9.5743060112,8.88488292694,53.095823333,-7.91273,07:33:44
NDA,8.51962566376,9.63366031647,8.92140865326,53.095823333,-7.91273,07:33:44
NDA,8.54245424271,9.63366031647,8.92140865326,53.095823333,-7.91273,07:33:45
NDA,8.56071710587,9.65192317963,8.92140865326,53.095823333,-7.91273,07:33:46
NDA,8.56071710587,9.65192317963,8.92140865326,53.095823333,-7.91273,07:33:47
NDA,8.54245424271,9.63366031647,9.91673469543,53.095823333,-7.91273,07:33:48
NDA,8.99902582169,9.67018604279,9.38254594803,53.095823333,-7.91273,07:33:49
NDA,8.98076295853,9.62909460068,9.4419002533,53.095823333,-7.91273,07:33:50
NDA,9.00359153748,9.67018604279,8.92597436905,53.095823333,-7.91273,07:33:50
NDA,9.05838012695,9.63366031647,8.94423723221,53.095823333,-7.91273,07:33:51
NDA,9.07664299011,9.61083173752,8.92597436905,53.095823333,-7.91273,07:33:52
NDA,8.86662006378,11.7201924324,9.99435186386,53.095823333,-7.91273,07:33:53
NDA,8.62007141113,9.23187732697,9.76606607437,53.095823333,-7.91273,07:33:54
NDA,8.13610553741,9.22731161118,9.67018604279,53.095823333,-7.91273,07:33:55
NDA,8.57897996902,9.67018604279,8.52419137955,53.095823333,-7.91273,07:33:56
NDA,8.65659713745,9.76606607437,18.2309031487,53.095823333,-7.91273,07:33:57
NDA,8.13610553741,9.65192317963,9.61539745331,53.095823333,-7.91273,07:33:58
NDA,8.96250009537,9.7067117691,9.68844890594,53.095823333,-7.91273,07:33:59
NDA,8.48309993744,10.5924606323,9.65192317963,53.095823333,-7.91273,07:34:00
NDA,8.61550569534,9.67018604279,9.65192317963,53.095823333,-7.91273,07:34:01
NDA,8.13610553741,9.67018604279,8.231985569,53.095823333,-7.91273,07:34:02
NDA,8.65659713745,9.59256887436,9.11316871643,53.095823333,-7.91273,07:34:03
NDA,8.1406712532,9.61539745331,9.65192317963,53.095823333,-7.91273,07:34:04
NDA,8.56071710587,9.65192317963,10.1906776428,53.095823333,-7.91273,07:34:04
NDA,8.13610553741,9.61539745331,10.1495862007,53.095823333,-7.91273,07:34:05
NDA,8.19545984268,9.55604314804,9.61083173752,53.095823333,-7.91273,07:34:06
NDA,8.69312286377,9.63366031647,9.62909460068,53.095823333,-7.91273,07:34:07
NDA,9.19078588486,9.49668884277,9.55604314804,53.095823333,-7.91273,07:34:08
NDA,8.9031457901,9.21361446381,9.63366031647,53.095823333,-7.91273,07:34:09
NDA,8.19545984268,9.5743060112,9.67475175858,53.095823333,-7.91273,07:34:10
NDA,9.01728868484,9.5743060112,9.55604314804,53.095823333,-7.91273,07:34:10
NDA,8.54245424271,9.8436832428,10.2637290955,53.095823333,-7.91273,07:34:11
NDA,9.09947156906,9.88020896912,9.78432893753,53.095823333,-7.91273,07:34:12
NDA,9.01728868484,9.47842597961,9.40080881119,53.095823333,-7.91273,07:34:13
NDA,8.60180854797,9.5743060112,9.65192317963,53.095823333,-7.91273,07:34:14
NDA,7.75715112686,8.93967151642,9.51951742172,53.095823333,-7.91273,07:34:15
NDA,7.86672830582,9.53321456909,9.43733453751,53.095823333,-7.91273,07:34:16
NDA,9.71127748489,9.23187732697,9.55604314804,53.095823333,-7.91273,07:34:16
NDA,8.82552862167,9.59713459015,8.53788852692,53.095823333,-7.91273,07:34:17
NDA,8.61550569534,9.26840305328,9.05838012695,53.095823333,-7.91273,07:34:18
NDA,8.78900289536,9.65192317963,9.82542037964,53.095823333,-7.91273,07:34:19
NDA,6.87596797943,9.36428308487,9.59256887436,53.095823333,-7.91273,07:34:20
NDA,8.7707400322,10.0171804428,9.63366031647,53.095823333,-7.91273,07:34:21
NDA,8.65203142166,9.34602022171,9.55604314804,53.095823333,-7.91273,07:34:22
NDA,9.22731161118,9.55604314804,8.84835720062,53.095823333,-7.91273,07:34:23
NDA,9.28666591644,9.72497463226,9.46016311646,53.095823333,-7.91273,07:34:24
NDA,8.71138572693,9.72954034805,10.0308775902,53.095823333,-7.91273,07:34:25
NDA,8.96250009537,9.42363739014,9.05838012695,53.095823333,-7.91273,07:34:26
NDA,8.19545984268,9.32775735855,8.92597436905,53.095823333,-7.91273,07:34:26
NDA,9.13143157959,9.09490585327,9.035551548,53.095823333,-7.91273,07:34:27
